imlib2 1.7.1-1
inetutils 1.9.4-8
inxi 3.3.01-1
iproute2 5.11.0-1
iptables 1:1.8.7-1
iputils 20200821-1
ipw2100-fw 1.3-10
ipw2200-fw 3.1-8
iso-codes 4.6.0-1
isync 1.4.1-1
iw 5.9-1
jack 0.125.0-9
jansson 2.13.1-1
jasper 2.0.27-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
jdk11-openjdk 11.0.10.u9-1
jdk8-openjdk 8.u282-1
jemalloc 1:5.2.1-3
jfsutils 1.1.15-7
john 1.9.0.jumbo1-5
jq 1.6-4
jre11-openjdk 11.0.10.u9-1
jre11-openjdk-headless 11.0.10.u9-1
jre8-openjdk 8.u282-1
jre8-openjdk-headless 8.u282-1
js60 60.9.0-2
js68 68.12.0-1
js78 78.9.0-1
json-c 0.15-1
json-glib 1.6.2-1
jsoncpp 1.9.4-1
jxrlib 0.2.1-3
kaccounts-integration 20.12.3-1
kactivities 5.80.0-1
karchive 5.80.0-1
kauth 5.80.0-1
kbd 2.4.0-2
kbookmarks 5.80.0-1
kcmutils 5.80.0-1
kcodecs 5.80.0-1
kcompletion 5.80.0-1
kconfig 5.80.0-1
kconfigwidgets 5.80.0-1
kcoreaddons 5.80.0-1
kcrash 5.80.0-1
kdbusaddons 5.80.0-1
kdeclarative 5.80.0-1
kded 5.80.0-1
kexec-tools 2.0.21-1
keyutils 1.6.3-1
kglobalaccel 5.80.0-1
kguiaddons 5.80.0-1
ki18n 5.80.0-1
kicad-footprints 5.1.7-1
kicad-git 5.99.0.r8928.gc255dede17-1
kicad-library-3d-nightly 5.99.0_8605_g96af236493-1
kicad-symbols 5.1.7-1
kiconthemes 5.80.0-2
kio 5.80.1-2
kirigami2 5.80.0-1
kitemviews 5.80.0-1
kiwix-desktop 2.0.5-1
kiwix-lib 9.4.1-2
kiwix-tools 3.1.2-6
kjobwidgets 5.80.0-1
kjs 5.80.0-1
kmod 28-1
knotifications 5.80.0-1
kpackage 5.80.0-1
kparts 5.80.0-1
kpty 5.80.0-1
krb5 1.18.3-1
kservice 5.80.0-1
ktextwidgets 5.80.0-1
kwallet 5.80.0-1
kwidgetsaddons 5.80.0-1
kwindowsystem 5.80.0-1
kxmlgui 5.80.0-1
kyotocabinet 1.2.78-1
l-smash 2.14.5-2
lame 3.100-3
lapack 3.9.0-3
lbzip2 2.5-5
lcms2 2.12-1.1
ldb 1:2.2.0-3
ldns 1.7.1-2
leafpad 0.8.18.1-9
lensfun 0.3.95-4
less 563-1
lf-git r615.279b0cf-1
libabw 0.1.3-2
libaccounts-glib 1.25-3
libaccounts-qt 1.16-2
libaec 1.0.4-1
libaio 0.3.112-2
libao 1.2.2-5
libarchive 3.5.1-1
libass 0.15.0-2
libassuan 2.5.4-2
libasyncns 0.8+3+g68cd5af-3
libatasmart 0.19-5
libatomic_ops 7.6.10-2
libavc1394 0.5.4-4
libavif 0.9.0-1
libblockdev 2.25-2
libbluray 1.2.1-1
libbsd 0.10.0-2
libbytesize 2.5-1
libcaca 0.99.beta19-4
libcanberra 0.30+2+gc0620e4-3
libcanberra-pulse 0.30+2+gc0620e4-3
libcap 2.49-1
libcap-ng 0.8.2-1
libcbor 0.8.0-1
libcddb 1.3.2-6
libcdio 2.1.0-2
libcdio-paranoia 10.2+2.0.1-2
libcdr 0.1.6-3
libcloudproviders 0.3.1-2
libcmis 0.5.2-6
libcroco 0.6.13-2
libcups 1:2.3.3op2-1
libdaemon 0.14-5
libdatrie 0.2.13-1
libdbusmenu-qt5 0.9.3+16.04.20160218-5
libdc1394 2.2.6-2
libdca 0.0.7-1
libde265 1.0.8-1
libdrm 2.4.104-1
libdv 1.0.0-9
libdvbpsi 1:1.3.3-2
libdvdnav 6.1.0-2.1
libdvdread 6.1.1-1
libe-book 0.1.3-8
libebml 1.4.2-1
libedit 20210216_3.1-1
libelf 0.183-3
libelogind 246.10-1
libepoxy 1.5.5-1
libepubgen 0.1.1-2
libetonyek 0.1.9-2
libeudev 3.2.10-1
libev 4.33-1
libevdev 1.11.0-1
libevent 2.1.12-1
libexif 0.6.22-1
libexttextcat 3.4.5-2
libfakekey 0.3-2
libffi 3.3-4
libfido2 1.6.0-1
libfontenc 1.1.4-3
libfprint-1 1.0-1
libfreehand 0.1.2-3
libftdi 1.5-1
libgcrypt 1.9.2-1
libgdiplus 5.6.1-3
libgexiv2 0.12.2-1
libglvnd 1.3.2-1
libgme 0.6.3-1
libgpg-error 1.42-1
libgphoto2 2.5.27-1
libgudev 236-1
libgusb 0.3.6-1
libgxps 0.3.2-1
libheif 1.11.0-2
libibus 1.5.24-1
libical 3.0.9-1
libice 1.0.10-3
libicns 0.8.1-7
libid3tag 0.15.1b-11
libidn 1.36-1
libidn2 2.3.0-1
libiec61883 1.2.0-6
libimagequant 2.14.1-1
libimobiledevice 1.3.0-3
libinih 53-1
libinput 1.17.0-1
libinstpatch 1.1.6-1
libixion 0.16.1-5
libjpeg-turbo 2.0.6-1
libkate 0.4.1-7
libkexiv2 20.12.3-1
libksba 1.4.0-2
liblangtag 0.6.3-2
libldap 2.4.57-1
libluv 1.36.0-1
libmad 0.15.1b-9
libmatroska 1.6.3-1
libmediainfo 20.09-2
libmfx 20.5.1-1
libmicrohttpd 0.9.72-1
libmikmod 3.3.11.1-4
libmm-glib 1.16.2-1
libmms 0.6.4-3
libmng 2.0.3-3
libmnl 1.0.4-3
libmodplug 0.8.9.0-3
libmpc 1.2.1-1
libmpcdec 1:0.1+r475-3
libmpdclient 2.19-3
libmpeg2 0.5.1-7
libmspub 0.1.4-9
libmtp 1.1.18-1
libmwaw 0.3.17-1
libmypaint 1.5.1-2
libndp 1.7-2
libnet 1:1.1.6-1
libnetfilter_conntrack 1.0.8-1
libnewt 0.52.21-5
libnfnetlink 1.0.1-4
libnfs 4.0.0-4
libnftnl 1.1.9-1
libnghttp2 1.43.0-1
